dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/short,FLAIR,1846776.4134296365,1937074.6561212884,187.10755948173343,0.9996724419196036,1.708268772056975,0.6061336441652744,17.75649164547514,1358.9615202166824,4.26680324289856,0.5874714844318778,0.4706063207629383,Web/CloudOps,2.0
bitbrains_fast_storage/5T/medium,FLAIR,3118674.8201469,2729295.575160217,259.7001644216678,1.1207044736092244,2.8906997301554647,0.6788928802256836,21.871571076513977,1765.9770157470623,5.365525556545144,0.7890407727950932,0.6333159815710692,Web/CloudOps,2.0
bitbrains_fast_storage/5T/long,FLAIR,3661470.482462851,3238154.461073728,320.31423211705686,1.0495652964266236,2.8537249020158884,0.6871064137623306,17.203443166090544,1913.4969251250056,5.056801327093086,0.846494923920779,0.666008348756763,Web/CloudOps,2.0
bitbrains_fast_storage/H/short,FLAIR,3082869.6037823856,2733623.1734293606,290.26043356397923,1.321253217668716,3.121420924965199,0.5213209157485315,23.975379675350812,1755.8102413935242,5.0046294659044115,0.8273365107197272,0.6425372487912054,Web/CloudOps,2.0
bitbrains_rnd/5T/short,FLAIR,1636836.460830957,1936194.939868636,140.43773287022287,1.9100123860850633,0.6871359999716936,0.5362996794923731,57.94864959866474,1279.3890967297466,5.234890678564181,0.5746306425466685,0.4989168707596522,Web/CloudOps,2.0
bitbrains_rnd/5T/medium,FLAIR,2100595.5401367466,2245828.116468942,151.16253985903026,4.530835002021688,0.6536346629144442,0.5850481626331625,161.2082830425433,1449.343140921689,6.098125489994382,0.6360178700403781,0.6016746088652449,Web/CloudOps,2.0
bitbrains_rnd/5T/long,FLAIR,2433136.8208996467,2346674.2797109713,173.44353227174926,3.508942159192608,1.2207947245114577,0.5801811352620492,118.0843945039715,1559.8515380957404,5.97543955152752,0.664423066799347,0.6267076501689193,Web/CloudOps,2.0
bitbrains_rnd/H/short,FLAIR,1702655.2230083784,1663948.9502470498,146.435254773015,6.228065453522783,1.586998989159237,0.5663260535637824,206.89895240538377,1304.8583153003158,5.710698929794418,0.6408723789478751,0.5913258706281541,Web/CloudOps,2.0
bizitobs_application/10S/short,FLAIR,1876184.576531477,1812731.8546140173,747.6142013719673,2.2751168766336076,0.0316150391177311,0.0328690141198594,38.158331376030254,1369.7388716581993,0.0528253532771152,0.0288324914475505,0.0245935005146765,Web/CloudOps,2.0
bizitobs_application/10S/medium,FLAIR,4824342.996701329,4512050.859185152,1177.0068224996946,2.485168147892638,0.0359116835834982,0.0366683229756227,38.88806660348748,2196.438707704207,0.0862476835461689,0.0462175937814998,0.0425144521926404,Web/CloudOps,2.0
