dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,RAES-Conductance-Ensemble-V,5638371.732033539,5638371.732033539,367.75581366911103,0.9175259515459168,3.341670503305292,0.8233354112341082,21.85988145943682,2374.525580412546,6.275162134622835,0.9718688127684332,0.806582678819368,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,RAES-Conductance-Ensemble-V,3972996.782526061,3972996.782526061,296.7625756751314,0.922678293654104,4.452882114932632,0.7888244228718336,20.095119957266,1993.2377636714743,6.056006870709125,0.9016466725713445,0.5958079628067434,Web/CloudOps,2
bitbrains_fast_storage/5T/short,RAES-Conductance-Ensemble-V,1603086.8303740164,1603086.8303740164,135.86995648848335,0.6200028711994859,1.5824095346520524,0.709262084895994,13.414571671559708,1266.1306529635938,3.975337115867689,0.4265980605522285,0.3449510223541225,Web/CloudOps,2
bitbrains_fast_storage/H/short,RAES-Conductance-Ensemble-V,2942650.532211141,2942650.532211141,292.0852416366856,1.067530549075558,3.883021970496216,0.5814351530194842,22.434349139149173,1715.4155567124665,4.889491578703148,0.8325378207383431,0.6148646641207637,Web/CloudOps,2
bitbrains_rnd/5T/long,RAES-Conductance-Ensemble-V,2348073.4356846944,2348073.4356846944,158.8178155646857,3.242298077038253,1.3577732101478788,0.6674103183056098,114.656393371636,1532.3424668411087,5.870058758145598,0.6083952702341338,0.6077673418895261,Web/CloudOps,2
bitbrains_rnd/5T/medium,RAES-Conductance-Ensemble-V,2298316.046078388,2298316.046078388,147.26242405065238,4.399678168790492,0.5052017442550143,0.7080381384911868,163.87174850524963,1516.0198039862105,6.378668122000223,0.6196080865108009,0.5960801450218078,Web/CloudOps,2
bitbrains_rnd/5T/short,RAES-Conductance-Ensemble-V,1673092.12230237,1673092.12230237,113.14032567278504,1.5801923163973,1.0757374022347637,0.6338549634886189,51.032328352977295,1293.4806230873232,5.292549297242092,0.4629375503902039,0.3726048701457872,Web/CloudOps,2
bitbrains_rnd/H/short,RAES-Conductance-Ensemble-V,2235573.0294696013,2235573.0294696013,196.98314415000291,5.809325524504389,3.010030253358116,0.5586869920028766,197.04698161166527,1495.1832762138563,6.543653627215469,0.8620946249355383,0.6697196831892436,Web/CloudOps,2
bizitobs_application/10S/long,RAES-Conductance-Ensemble-V,6402541.795555555,6402541.795555555,1535.9975,3.2731282365695806,0.0476013098822699,0.0486348594373355,72.60439565545394,2530.3244447215766,0.0975844998370551,0.0592372840175285,0.0546884051520137,Web/CloudOps,2
bizitobs_application/10S/medium,RAES-Conductance-Ensemble-V,4608678.826666667,4608678.826666667,1173.628333333333,2.468208258396144,0.0353520202636718,0.036206760989364,35.92321256328055,2146.783367428271,0.0842978644779315,0.0460849304554245,0.0409816328832849,Web/CloudOps,2
bizitobs_application/10S/short,RAES-Conductance-Ensemble-V,350700.44444444444,350700.44444444444,331.1220833333333,0.9533217933281294,0.0139558071560329,0.0140337753295898,5.947966460577738,592.1996660286499,0.0228387740290102,0.0127700552213739,0.0096823635360575,Web/CloudOps,2
bizitobs_l2c/5T/long,RAES-Conductance-Ensemble-V,118.33850847274536,118.33850847274536,6.077939966595362,0.6064908389649042,0.4503906544457082,0.7893094657716297,3.4539642405204383,10.878350448149083,0.6108031164940005,0.3412672437015986,0.2691925154345478,Web/CloudOps,7
bizitobs_l2c/5T/medium,RAES-Conductance-Ensemble-V,111.44142581786022,111.44142581786022,6.146854371765033,0.6215585080121612,0.4235852684138554,0.7185434333321189,3.41221843990027,10.556582108706408,0.5554314759549612,0.3234149425479176,0.2518559736324187,Web/CloudOps,7
bizitobs_l2c/5T/short,RAES-Conductance-Ensemble-V,16.059041341145832,16.059041341145832,2.233942376999628,0.2312076882805537,0.1101576894549384,0.1913435975260351,2.331712158188952,4.007373371816736,0.137629422211462,0.0767226235425061,0.0612583061660722,Web/CloudOps,7
bizitobs_l2c/H/long,RAES-Conductance-Ensemble-V,99.56886092897446,99.56886092897446,5.755020722888765,0.6107828837342615,0.7120026713910353,0.8073437221466548,15.002674188255908,9.978419761113202,0.6095107037503958,0.3515332903288,0.3212908221211429,Web/CloudOps,7
bizitobs_l2c/H/medium,RAES-Conductance-Ensemble-V,73.60548531668526,73.60548531668526,5.040342167445592,0.5085751385579764,0.5616613788930584,0.79505371820359,10.486613907787998,8.579363922616015,0.5194935293908364,0.3052003814643358,0.2738149897555715,Web/CloudOps,7
bizitobs_l2c/H/short,RAES-Conductance-Ensemble-V,51.82110305059524,51.82110305059524,4.317893376426091,0.4206393707854118,0.3594347178507194,0.5943920303203886,2.7291461656729594,7.198687592234799,0.3880276973790066,0.2327455113054213,0.1818618572725514,Web/CloudOps,7
bizitobs_service/10S/long,RAES-Conductance-Ensemble-V,131141.26899470898,131141.26899470898,76.45482142857144,1.2999944719663274,0.0735180986999834,0.0715070080633039,20.80533455267016,362.1343245188296,0.2682806847469078,0.0566401759134908,0.0525573483541307,Web/CloudOps,2
bizitobs_service/10S/medium,RAES-Conductance-Ensemble-V,42301.805714285714,42301.805714285714,45.64089285714286,1.0598884646645204,0.061601339673239,0.0568402079040107,10.009644352005582,205.67402780683253,0.1547951200584567,0.0343504114969342,0.0254394413358957,Web/CloudOps,2
bizitobs_service/10S/short,RAES-Conductance-Ensemble-V,1807.7659523809525,1807.7659523809525,17.62182705026455,0.6779335158674583,0.0535541328551277,0.044654541015625,5.257031475960209,42.51783099337209,0.0314985693867792,0.0130548132182732,0.0100787305028287,Web/CloudOps,2
