dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,RAES-Conductance-Ensemble,3764560.182136522,3764560.182136522,311.8118974577426,1.0443920730904832,4.017412770111333,0.8067188169857037,28.28738176421152,1940.24745384101,5.127494805112658,0.8240257608491148,0.6125487178695066,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,RAES-Conductance-Ensemble,3972996.782526061,3972996.782526061,296.7625756751314,0.922678293654104,4.452882114932632,0.7888244228718336,20.095119957266,1993.2377636714743,6.056006870709125,0.9016466725713445,0.5958079628067434,Web/CloudOps,2
bitbrains_fast_storage/5T/short,RAES-Conductance-Ensemble,1603086.8303740164,1603086.8303740164,135.86995648848335,0.6200028711994859,1.5824095346520524,0.709262084895994,13.414571671559708,1266.1306529635938,3.975337115867689,0.4265980605522285,0.3449510223541225,Web/CloudOps,2
bitbrains_fast_storage/H/short,RAES-Conductance-Ensemble,2665994.5506858937,2665994.5506858937,286.61201578284454,0.9340666313475648,3.494808144372756,0.5604744097765231,73.71274582816918,1632.787356236535,4.653974200774611,0.8169373200928497,0.6368159765025884,Web/CloudOps,2
bitbrains_rnd/5T/long,RAES-Conductance-Ensemble,2348073.4356846944,2348073.4356846944,158.8178155646857,3.242298077038253,1.3577732101478788,0.6674103183056098,114.656393371636,1532.3424668411087,5.870058758145598,0.6083952702341338,0.6077673418895261,Web/CloudOps,2
bitbrains_rnd/5T/medium,RAES-Conductance-Ensemble,2420113.341921431,2420113.341921431,155.48740714899554,4.321594108112,0.8655858887581546,0.6934708976668211,158.746398539226,1555.6713476571556,6.545502697722575,0.6542148150304126,0.6587433484855357,Web/CloudOps,2
bitbrains_rnd/5T/short,RAES-Conductance-Ensemble,1673092.12230237,1673092.12230237,113.14032567278504,1.5801923163973,1.0757374022347637,0.6338549634886189,51.032328352977295,1293.4806230873232,5.292549297242092,0.4629375503902039,0.3726048701457872,Web/CloudOps,2
bitbrains_rnd/H/short,RAES-Conductance-Ensemble,2101363.6642939346,2101363.6642939346,157.24618515834788,5.784190120063003,1.5105400530525404,0.522258418283236,209.1068095694561,1449.608107142732,6.344194305914498,0.6881862398484374,0.6381817989508932,Web/CloudOps,2
bizitobs_application/10S/long,RAES-Conductance-Ensemble,5508384.995555555,5508384.995555555,1444.5293055555555,2.9496628553199304,0.0426446957058376,0.0436458248562282,21.627559402395445,2346.9948861374955,0.0905142115516553,0.0557097213666283,0.0453959711241642,Web/CloudOps,2
bizitobs_application/10S/medium,RAES-Conductance-Ensemble,2984731.7333333334,2984731.7333333334,963.6932291666668,2.106245147659174,0.0300162633260091,0.0306269709269205,21.91949247833057,1727.6376163227442,0.0678392444516726,0.0378413967907296,0.0314587238719329,Web/CloudOps,2
