dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
ett1/15T/medium,STRIDE (+Chronos-2),7.8087555803571425,7.8087555803571425,1.4641417100694445,0.9313177853440836,0.6892281034414203,0.3662868923611111,6.730925227396346,2.794415069447834,0.5326182122491454,0.2790668246183933,0.21566749226151244,7
ett1/H/medium,STRIDE (+Chronos-2),137.68288690476192,137.68288690476192,6.743002464657738,1.2359120466891644,1606479001757.1165,0.45304151262555803,8.308517570515685,11.733835131991668,0.5620228878643275,0.3229738338261417,0.2494065982249788,7
ett2/15T/medium,STRIDE (+Chronos-2),9.323895709325397,9.323895709325397,1.903530505952381,0.7991730685241393,0.12323188831710132,0.1521045696924603,6.32658932666394,3.053505478843193,0.1627268234593355,0.10144257959835795,0.0814458821701667,7
ett2/H/medium,STRIDE (+Chronos-2),219.23102678571428,219.23102678571428,8.913657924107143,0.9852234535007053,0.16978484963006085,0.162318602062407,7.8349492741568065,14.806452201176157,0.19952645258047966,0.12011726515901652,0.09898713629884326,7
bizitobs_l2c/H/long,STRIDE (+Chronos-2),79.61491195436508,79.61491195436508,5.141441902281746,0.5513812773138917,0.586655194723414,0.7762431311228919,4.686343336797762,8.922718865590525,0.5450254208627863,0.3140541105065083,0.25515891724968603,7
electricity/15T/short,STRIDE (+Chronos-2),140075.84423590582,140075.84423590582,54.485343847876194,1.0508904992427877,0.17880080337025933,0.16971526980400087,11.305957647179296,374.267076077907,0.7377541908320101,0.10740135409166054,0.08861780000497164,1
electricity/H/short,STRIDE (+Chronos-2),1495193.6489803279,1495193.6489803279,171.2756559189805,0.9466001855218095,0.23938896882697638,0.13055164620683,10.479769134840387,1222.7811124564887,0.5772400073752251,0.08085434087810782,0.06612234283774457,1
electricity/D/short,STRIDE (+Chronos-2),1442606174.0753875,1442606174.0753875,4313.60265990991,1.3794527485463446,0.39748326571409576,0.09502768439215582,11.269285630815038,37981.65575742305,0.6241647455972094,0.07088681767918763,0.05584582952739833,1
electricity/W/short,STRIDE (+Chronos-2),81278140160.23064,81278140160.23064,29826.158502252252,1.4265942058086507,0.15953069160040637,0.0927305453532451,11.153321032883687,285093.2131079774,0.6504886309095967,0.06805345100261809,0.051661371369153636,1
solar/10T/short,STRIDE (+Chronos-2),15.964912447964188,15.964912447964188,1.622746427215799,0.7117288340536145,1.618602604322852,1.500208560915759,3.841816646112554,3.995611648792233,1.1623229720850325,0.47205675025799115,0.3464934010961457,1
solar/H/short,STRIDE (+Chronos-2),302.3137823244814,302.3137823244814,7.297834242240524,0.5627655129210789,1.7386521270305288,1.3653052153302179,3.7140839998896076,17.38717292501807,0.6408969834297121,0.269000600131614,0.21127999652302126,1
solar/D/short,STRIDE (+Chronos-2),31249.213138686133,31249.213138686133,111.44210813944647,0.43472008178707733,0.3274863194375143,0.32262286629409975,3.4948151489255523,176.77446970274337,0.2553789125884334,0.16099589743401038,0.12637808335333425,1
solar/W/short,STRIDE (+Chronos-2),197118.85857664235,197118.85857664235,295.5467181797445,0.3146988530266777,0.0603044381106857,0.058793021379596126,2.3446014183536636,443.980696175681,0.09062756015467802,0.060328474213108364,0.04820318627628534,1
hospital/M/short,STRIDE (+Chronos-2),2554.001381872012,2554.001381872012,17.118298016232753,0.741555172268488,0.18648784692159998,0.1695261005731522,4.9491672301084595,50.53712874582421,0.1834615127847226,0.06214339691028201,0.04872562149952611,1
covid_deaths/D/short,STRIDE (+Chronos-2),13583785.162907269,13583785.162907269,671.9062284617794,58.68637121571867,0.2261302666834005,0.438138306887825,475.69441557221614,3685.6186947251163,1.3867319047895321,0.25280797641065983,0.19923162809643113,1
us_births/D/short,STRIDE (+Chronos-2),220333.36,220333.36,310.297109375,0.45710602786296817,0.029947258631388345,0.029260565439860026,4.029889459917481,469.3968044203113,0.044002141479032406,0.029087836088094874,0.022838936917826,1
us_births/M/short,STRIDE (+Chronos-2),45396496.0,45396496.0,5532.4765625,0.6265474360858291,0.017402788003285725,0.01721375932296117,5.1252762360026285,6737.692186498282,0.020927225994258673,0.017183834483176324,0.014126903860581285,1
us_births/W/short,STRIDE (+Chronos-2),2108244.285714286,2108244.285714286,1083.4762137276787,0.9848008013043016,0.014759525656700134,0.01468324554818017,6.464428170002615,1451.9794370838335,0.019710478485403266,0.014708083361715384,0.011721015324387634,1
saugeen/D/short,STRIDE (+Chronos-2),1016.3741666666666,1016.3741666666666,12.761334635416667,2.835311677751413,0.3064605204264323,0.32120142618815106,24.31974611558524,31.8806236869147,1.0326209972693086,0.413342669425882,0.33773735010922423,1
saugeen/M/short,STRIDE (+Chronos-2),444.24144345238096,444.24144345238096,12.868582589285714,0.754092400195826,0.3931075958978562,0.36940951574416386,4.749774519831389,21.07703592662832,0.6327958490329458,0.3863534547165475,0.3046127222257078,1
saugeen/W/short,STRIDE (+Chronos-2),990.6740234375,990.6740234375,14.014212036132813,1.136936406106785,0.32794556617736814,0.36514570713043215,10.215345088436663,31.474974558170814,0.950098279276923,0.4230306434829261,0.33984548055369346,1
temperature_rain/D/short,STRIDE (+Chronos-2),175.27063319991987,175.27063319991987,5.665478670899976,1.3290581292949535,23.544376870559194,1.4865020504809205,19.062988560041887,13.238981577142551,1.5585781590582402,0.6669766300090934,0.5417152129446104,1
kdd_cup_2018/H/short,STRIDE (+Chronos-2),3776.820553738487,3776.820553738487,17.340220173056817,0.7268151506363564,0.6048786031724136,0.39844475869299306,6.465804270930856,61.45584230761537,1.286382078214022,0.3629622119773867,0.29532510458686645,1
kdd_cup_2018/D/short,STRIDE (+Chronos-2),2103.1496775051532,2103.1496775051532,17.252262152258297,1.0110730315446594,0.48040152772388145,0.3893866456246961,8.07762980453201,45.86010987236242,1.027315173053273,0.3864689973014812,0.3068441375571189,1
car_parts/M/short,STRIDE (+Chronos-2),1.4372063040400749,1.4372063040400749,0.44765280277206076,0.8361033982219371,0.8990360046624067,1.9310227160088265,16.047478440086042,1.1988353948895882,2.87468429988338,1.0734255006260915,0.9248127344406962,1
restaurant/D/short,STRIDE (+Chronos-2),141.48669167950874,141.48669167950874,7.219578372538118,0.69235385352393,0.704754402671551,0.39719509510607837,4.6895979078279195,11.894817849782683,0.547427077463048,0.33226172429922296,0.2603350979722798,1
hierarchical_sales/D/short,STRIDE (+Chronos-2),28.44404446245866,28.44404446245866,2.2731198446865957,0.7379017700613866,0.6063962041582255,1.0368678887356604,7.054754429463558,5.333295834890341,1.6361960994558886,0.6973679950661232,0.5658625703755442,1
