dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
ett1/15T/medium,STRIDE (+Timer-S1),8.632627728174603,8.632627728174603,1.5298381696428571,0.9615790747079523,0.7022635110787491,0.37733158172123016,8.204850567366911,2.938133374810375,0.5600110601143692,0.29158863329014634,0.22947734762459276,7
ett1/H/medium,STRIDE (+Timer-S1),151.78863467261905,151.78863467261905,7.028819056919643,1.2526538537213945,3357114414951.455,0.4262459164574033,11.313226336592342,12.320253027946263,0.5901109149818333,0.3366637710696447,0.27116470131749765,7
ett2/15T/medium,STRIDE (+Timer-S1),10.859255952380952,10.859255952380952,2.0504242621527777,0.8417382947924624,0.12837719910089884,0.15731187608506944,8.161546309355465,3.295338518632183,0.1756145430475401,0.10927081324592174,0.08935195589729532,7
ett2/H/medium,STRIDE (+Timer-S1),225.59776785714286,225.59776785714286,9.660466076078869,1.0535589222882908,0.1711012064394295,0.17446943010602678,7.737542728761796,15.01991237847754,0.20240296556046022,0.13018098463053623,0.10411843944153186,7
bizitobs_l2c/H/long,STRIDE (+Timer-S1),73.65833333333333,73.65833333333333,5.033530195932539,0.5455111605102733,0.6476574053196503,0.7664553687686012,6.416698363837005,8.582443319552617,0.5242404084150865,0.3074625520303347,0.2552028554783936,7
electricity/15T/short,STRIDE (+Timer-S1),126076.56814194687,126076.56814194687,50.08774031493041,0.940114219891076,0.1621016829879098,0.16027507618791353,10.222046777357892,355.0726237573757,0.6999181412692389,0.09873281057442883,0.08161943431802297,1
electricity/H/short,STRIDE (+Timer-S1),1880292.170703301,1880292.170703301,177.7661169708527,0.9303442642730813,0.16655055963316953,0.1259646516912648,10.373249079051728,1371.2374596339253,0.6473220049352354,0.08391830199697456,0.0684339241415551,1
electricity/D/short,STRIDE (+Timer-S1),1286298089.8052614,1286298089.8052614,4183.255921171171,1.372025634532198,0.2936013542394033,0.09251205100669517,10.810421433183212,35864.99811522735,0.589381030869363,0.06874478786500844,0.05418580727459809,1
electricity/W/short,STRIDE (+Timer-S1),38809607100.88649,38809607100.88649,27563.96924268018,1.5066743773440734,0.25233227219331544,0.09864887985537109,11.56389149097645,197001.54085916813,0.44949250528817825,0.06289188163982831,0.048412130733590825,1
solar/10T/short,STRIDE (+Timer-S1),14.672276643999012,14.672276643999012,1.578602583390953,0.6927006357822495,2.2674766681832534,1.5080373621067948,4.231441500654276,3.8304407897785095,1.1142747880707777,0.45921531113333,0.35340682266329826,1
solar/H/short,STRIDE (+Timer-S1),326.06883583845564,326.06883583845564,7.22345274745586,0.5550794342853163,2.551041970970074,1.3608816012509608,3.7495146447998144,18.05737621689418,0.6656008999261092,0.2662588734670168,0.209407634885094,1
solar/D/short,STRIDE (+Timer-S1),111102.15182481751,111102.15182481751,237.2636604698905,0.925550495627316,1.0104886762707193,0.41314991303604015,5.822463282833193,333.31989413297475,0.4815337432543848,0.3427651951633126,0.2570573417331858,1
solar/W/short,STRIDE (+Timer-S1),1850461.1824817518,1850461.1824817518,1106.4703467153286,1.224799776872976,0.25498730248778406,0.21652940415988003,6.503278255704194,1360.316574361186,0.27767462241993907,0.22585826088851366,0.16957703235452315,1
hospital/M/short,STRIDE (+Timer-S1),2889.037354682747,2889.037354682747,18.431864924557257,0.7759547989921798,0.18744317162093885,0.17595084073076245,5.225784522326087,53.749766089563096,0.19512413236240744,0.06691194981634867,0.05226694442308597,1
covid_deaths/D/short,STRIDE (+Timer-S1),761208.8446115288,761208.8446115288,167.09532326911028,38.63344263175425,0.10847604317735941,0.38377888806182936,842.4646275659262,872.4728331653249,0.32827213394160065,0.06287042559503785,0.04922316350623235,1
us_births/D/short,STRIDE (+Timer-S1),117595.97333333333,117595.97333333333,205.86548177083333,0.3031568938815556,0.019849443435668947,0.01949443499247233,2.880228255858902,342.922692940163,0.03214621980598833,0.019298218413984165,0.015602914421277267,1
us_births/M/short,STRIDE (+Timer-S1),21672929.333333332,21672929.333333332,3824.296875,0.4316338168282667,0.011759410301844278,0.011820513755083084,4.404223640870953,4655.41935096435,0.01445970076384712,0.011878240020023302,0.009794833530484813,1
us_births/W/short,STRIDE (+Timer-S1),2145902.8571428573,2145902.8571428573,1053.0916573660713,0.9572261278641242,0.01423991790839604,0.014253667422703334,6.414410109808244,1464.890049506398,0.019885738783096893,0.014295615988446789,0.011522461740795329,1
saugeen/D/short,STRIDE (+Timer-S1),810.86984375,810.86984375,10.305071614583333,2.2885760096561243,0.24804946899414063,0.2754535929361979,21.48662551166397,28.475776438053447,0.9223371836213382,0.33378372493855396,0.28065116963804754,1
saugeen/M/short,STRIDE (+Timer-S1),372.96958705357144,372.96958705357144,12.406305222284226,0.7267600541399274,0.37343797229585196,0.3600439571198963,4.886533226869718,19.312420538440318,0.5798168012829591,0.3724745013400507,0.28598354156118516,1
saugeen/W/short,STRIDE (+Timer-S1),728.04267578125,728.04267578125,12.004441833496093,0.9738667067359958,0.30068809986114503,0.31986796855926514,9.04096373605058,26.98226594971686,0.8144821341297421,0.36236405874151023,0.29629225446869795,1
temperature_rain/D/short,STRIDE (+Timer-S1),187.05204043444715,187.05204043444715,5.780666201372182,1.3559720036112621,19.90746369678942,1.509124874885224,19.15411435052957,13.67669698554615,1.6101088354509745,0.6805372478061449,0.549960474986174,1
kdd_cup_2018/H/short,STRIDE (+Timer-S1),3748.325103742491,3748.325103742491,16.427082641990978,0.6814553769216859,0.6097586313386795,0.37632721863624563,5.83346398207966,61.22356657156206,1.2815201263988092,0.3438485897276411,0.2783034575840732,1
kdd_cup_2018/D/short,STRIDE (+Timer-S1),2876.6638536679634,2876.6638536679634,20.88059372454535,1.175066704289955,0.517910244886732,0.45686576027004266,9.284675082028864,53.63453974509302,1.2014706600838005,0.4677474784794138,0.37006852224039555,1
car_parts/M/short,STRIDE (+Timer-S1),1.4137865998156758,1.4137865998156758,0.4577094359719074,0.8538773565980375,0.8630074279378924,1.910180285178837,15.718718986696636,1.189027585809377,2.851166179798401,1.0975402754254688,0.9541479543481413,1
restaurant/D/short,STRIDE (+Timer-S1),139.95408815494537,139.95408815494537,7.120555258826002,0.6842260429605003,0.6808278433045408,0.3938991681661238,4.733058145253002,11.830219277551256,0.5444541014955697,0.32770445117194213,0.25687584545337516,1
hierarchical_sales/D/short,STRIDE (+Timer-S1),27.989687112443157,27.989687112443157,2.283102178553896,0.7407711377626105,0.6224661503768817,1.0441507059316735,7.0483689836202466,5.290528056105852,1.623075418549386,0.7004304645489321,0.566854957564001,1
hierarchical_sales/W/short,STRIDE (+Timer-S1),451.42210879568324,451.42210879568324,8.992439593298961,0.7268728870901904,0.5591045895250459,0.4595958156100774,6.6560749484660535,21.246696420754056,0.9754462252090328,0.41284730025772215,0.3513621607153163,1
loop_seattle/5T/short,STRIDE (+Timer-S1),40.61617097805405,40.61617097805405,3.480218356263404,0.551450301313058,0.08884335846108672,0.07424608822085417,3.98056004050553,6.373081748891509,0.10928428129010963,0.05967806106724512,0.04675468454912866,1
loop_seattle/H/short,STRIDE (+Timer-S1),52.2705188254156,52.2705188254156,3.825040599600676,0.778199380229826,0.10494598768152513,0.0882236719662411,6.705674185871338,7.229835324916855,0.1279754372475447,0.06770710828453573,0.05506913378830368,1
loop_seattle/D/short,STRIDE (+Timer-S1),11.728608790221475,11.728608790221475,2.2756446365970575,0.6957758662169882,0.04287327204449381,0.04193003669734833,5.826889491137444,3.4247056501576125,0.061204064120901736,0.04066880908385879,0.033331263925347715,1
sz_taxi/15T/short,STRIDE (+Timer-S1),16.625247932033517,16.625247932033517,2.736123795911069,0.5463859346923953,991876056762.4591,0.3969218337928856,3.845384585734266,4.077407010838324,0.3812550114615537,0.25583928864531685,0.20062446224717642,1
sz_taxi/H/short,STRIDE (+Timer-S1),7.182281494140625,7.182281494140625,1.8520904932266626,0.5641471032304524,1.1862863149398413,0.2967025846497625,3.9649957458459553,2.679977890606679,0.24965647835283597,0.17253365848666125,0.13577768587150071,1
m_dense/H/short,STRIDE (+Timer-S1),33858.39024305555,33858.39024305555,78.14686740451388,0.6792292450224638,0.24976188904919408,0.1925758859846327,6.844751624373596,184.0064951110573,0.3263817022557159,0.13861308316341206,0.11286301528914294,1
m_dense/D/short,STRIDE (+Timer-S1),5594.135925925926,5594.135925925926,34.74106770833333,0.5455097617454854,0.10201176897166304,0.0782101058959961,6.177664627650166,74.7939564799585,0.12947939695361285,0.060141924670143204,0.05063497574111622,1
ett1/15T/short,STRIDE (+Timer-S1),4.470719401041666,4.470719401041666,1.0179075695219495,0.6524556703349379,0.4467734540765523,0.22487120855422246,4.495275847626266,2.114407576850231,0.3997110006481151,0.19242688005640304,0.14920167921146094,7
ett1/H/short,STRIDE (+Timer-S1),83.05057663690476,83.05057663690476,4.444340587797619,0.7462308992265931,0.46130567278180806,0.2339840843563988,5.572512913109374,9.113208909978129,0.42535074351056645,0.2074355577829546,0.16295988964904684,7
ett1/D/short,STRIDE (+Timer-S1),42370.10476190476,42370.10476190476,137.78033234126985,1.7243919071167684,1.1316885811941964,0.4787121000744048,10.516912174939907,205.83999796420704,0.5406455824354781,0.3618846131146605,0.27795752929309236,7
ett1/W/short,STRIDE (+Timer-S1),1351399.4285714286,1351399.4285714286,904.5376674107143,1.6230639720518618,0.6061590739658901,0.6025476455688477,9.205475947468697,1162.497066048525,0.46258532876882025,0.3599371271406728,0.27215435209314726,7
ett2/15T/short,STRIDE (+Timer-S1),7.115111142113095,7.115111142113095,1.6628304617745535,0.720705631375991,0.1029398587989577,0.12288202558244977,4.915092656211023,2.6674165670388073,0.1266317536540996,0.0789404774664521,0.06209446347661064,7
