dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/H/short,Toto-2.0-1B,1147.2999164578112,1147.2999164578112,8.278199567930242,0.5182439077885501,1.0761090392135046,0.6064027651561779,4.3270851785921645,33.871815960438425,0.2076320678922164,0.0507448344878041,0.0408952618966273,Nature,21
jena_weather/H/medium,Toto-2.0-1B,1404.8916666666669,1404.8916666666669,10.547093563988096,0.7969558275682016,1.89479904851929,0.6846826036608208,6.025668954689885,37.48188451327744,0.2293582814606387,0.0645395311802946,0.0512761899854982,Nature,21
jena_weather/H/long,Toto-2.0-1B,1635.4949735449736,1635.4949735449736,12.15364169973545,1.0881506055199677,2.2437007390713135,0.6758014200096387,8.533518492112437,40.44125336268615,0.2435011753880079,0.0731783956493508,0.0601410994921553,Nature,21
ett2/H/short,Toto-2.0-1B,107.31994977678572,107.31994977678572,6.414748418898809,0.7356687659014668,0.1206042496844257,0.1100335910137255,6.062713055771418,10.3595342451669,0.131387718631475,0.0813568583691088,0.0653479935448712,Energy,7
ett2/H/medium,Toto-2.0-1B,251.57581845238096,251.57581845238096,9.792050316220235,1.0500322618418174,0.1720591186715991,0.1705927961581984,7.629211398619424,15.8611417764416,0.2137390719620226,0.1319541667739817,0.1069050545604027,Energy,7
ett2/H/long,Toto-2.0-1B,224.9361111111111,224.9361111111111,9.418851273148148,1.0451157094098331,0.1766817785955356,0.178697485815348,8.391396093978996,14.99787021917149,0.2053842894381305,0.1289839189024418,0.1051696679472287,Energy,7
bizitobs_l2c/H/short,Toto-2.0-1B,56.07102554563492,56.07102554563492,4.452722943018353,0.4353136492600938,0.3754386993335019,0.589397325404388,2.7670410209614524,7.488058863659855,0.4036255921572773,0.2400131953169053,0.1872763691441685,Web/CloudOps,7
bizitobs_l2c/H/medium,Toto-2.0-1B,76.11277436755952,76.11277436755952,4.855487932477678,0.4919650808346884,0.4637337200784664,0.7588186598230487,3.4823714191877895,8.724263542990865,0.5282674089234523,0.2940071693741771,0.2328601466956501,Web/CloudOps,7
bizitobs_l2c/H/long,Toto-2.0-1B,82.58876488095238,82.58876488095238,5.171368117559524,0.5528926367097499,0.6000203387041732,0.7714324703037071,4.710278850653495,9.087836094525054,0.555111257763777,0.3158820901080511,0.2543477767960365,Web/CloudOps,7
ett2/W/short,Toto-2.0-1B,2868507.1428571427,2868507.1428571427,1225.558733258929,0.8534346349814845,0.1355149745941162,0.1470885715754666,8.821342665896678,1693.666774444472,0.1420726502796604,0.1028055695103252,0.0842532242282684,Energy,7
