dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/D/short,Toto-2.0-2.5B-FT,2879.7559511935633,2879.7559511935633,20.931084388922137,1.1782264186595377,0.5175431897898797,0.4585991381206433,9.259627649344978,53.66335762131888,1.2021161551652415,0.4688785011665823,0.3738658573363464,Nature,1
ett1/H/short,Toto-2.0-2.5B-FT,102.40927269345238,102.40927269345238,4.918742443266369,0.7984315249405362,0.4981911432175409,0.2544232235333789,5.327670290039469,10.119746671406968,0.4723299787529905,0.2295778332360594,0.1735190377115633,Energy,7
ett1/H/medium,Toto-2.0-2.5B-FT,134.63843936011904,134.63843936011904,6.688908458891369,1.243013239977219,2988909895180.7627,0.4235358573366896,9.116530089134562,11.603380514320774,0.5557744209194722,0.3203828591793209,0.2509237204430708,Energy,7
ett1/H/long,Toto-2.0-2.5B-FT,146.42513227513228,146.42513227513228,6.872124049272487,1.302843907925784,3347722329413.575,0.4492198297790301,9.49906237107156,12.100625284469077,0.5794727367384052,0.3290911367323165,0.2571894104591798,Energy,7
loop_seattle/5T/short,Toto-2.0-2.5B-FT,41.052565215025155,41.052565215025155,3.404100157872565,0.5399222043798283,0.0868209708954896,0.072854758631557,3.9423457691710193,6.407227576341046,0.1098698073172495,0.0583728022733447,0.0458212289111816,Transport,1
loop_seattle/5T/medium,Toto-2.0-2.5B-FT,65.49974103457173,65.49974103457173,4.4842608863035345,0.7150608221146657,0.1371484963935718,0.1027416032085969,5.539083388534621,8.09319102916592,0.1439944972656518,0.0797842148547246,0.0631646499777512,Transport,1
loop_seattle/5T/long,Toto-2.0-2.5B-FT,82.12468352253183,82.12468352253183,4.944551316506135,0.783985444541253,0.1481921108172801,0.1122318922923642,6.400201678008031,9.06226701893802,0.1602227464122985,0.0874206851388934,0.0694689711180656,Transport,1
saugeen/M/short,Toto-2.0-2.5B-FT,385.8384951636905,385.8384951636905,12.2552243187314,0.7181937956658772,0.3579644021533784,0.3499956105784954,4.210579982466182,19.642772084501985,0.5897349457410864,0.3679385993769292,0.2829426667257998,Nature,1
ett1/D/short,Toto-2.0-2.5B-FT,44017.206349206346,44017.206349206346,141.52456597222223,1.645449360010375,1.657791961185516,0.4603544705193692,9.755055294745986,209.80277965081004,0.5510539599821523,0.3717189669438553,0.2788192429020417,Energy,7
us_births/W/short,Toto-2.0-2.5B-FT,1485479.142857143,1485479.142857143,930.3114536830356,0.8464252646177621,0.0126140085714203,0.0126349282359411,4.941969055108211,1218.8023395354733,0.0165451222502306,0.0126288867625919,0.0099474287134157,Healthcare,1
