dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_hourly/H/short,Toto-2.0-2.5B,1025390.7690720612,1025390.7690720612,197.80760362413196,0.653070261302175,0.0842544859734134,0.0776899852617729,4.972651442445673,1012.615805264791,0.1382444269133376,0.0270051076231898,0.0208241447861512,Econ/Fin,1
electricity/D/short,Toto-2.0-2.5B,1501767031.3282883,1501767031.3282883,4405.130558558559,1.4189882502030369,0.4353870601195582,0.0943458808389967,11.381869828759385,38752.63902404955,0.6368345585532157,0.072390924728712,0.0565104577000195,Energy,1
loop_seattle/5T/short,Toto-2.0-2.5B,42.07379602642867,42.07379602642867,3.430893635626794,0.5443523582169892,0.0906977872484362,0.0730817745062199,4.120914377322473,6.486431686715637,0.1112279818893435,0.0588322507040828,0.0462397797577153,Transport,1
loop_seattle/5T/medium,Toto-2.0-2.5B,72.29645502773478,72.29645502773478,4.791172560307017,0.7618842801042643,0.1545899082731044,0.1096431788270318,5.777430558332647,8.502732209574448,0.1512810770976377,0.0852448045661981,0.0672035599215057,Transport,1
loop_seattle/5T/long,Toto-2.0-2.5B,89.67217757424608,89.67217757424608,5.299061514591217,0.8386407165211615,0.1725168168967148,0.119262433253833,6.270026686830479,9.469539459458735,0.1674234036057769,0.0936884965195503,0.0738611727642846,Transport,1
m4_weekly/W/short,Toto-2.0-2.5B,249639.12406256696,249639.12406256696,250.35724233983288,1.857561199237072,0.0599644940696897,0.0596038586586678,13.026774777190557,499.63899373704504,0.0910264727005328,0.0456112052319542,0.0360997495739414,Econ/Fin,1
electricity/15T/short,Toto-2.0-2.5B,144481.34795792864,144481.34795792864,50.60251430752041,0.9771460732406396,0.1568217383454069,0.1611297813695449,11.522936054024727,380.10702171615907,0.7492658841624973,0.0997475328192756,0.082879184707957,Energy,1
electricity/15T/medium,Toto-2.0-2.5B,254344.7992327562,254344.7992327562,51.84141742768159,0.8118892146313188,0.118367042895031,0.1273291087753409,7.103060021128434,504.3260842280084,0.8690046065020434,0.0893279803704999,0.0717749463269947,Energy,1
electricity/15T/long,Toto-2.0-2.5B,329704.8473326764,329704.8473326764,57.369673517267266,0.8616185699052232,0.1233229876220591,0.1295052151036068,7.335602987344366,574.1993097633228,0.9058698228085056,0.0905076949763137,0.0722926141965813,Energy,1
hierarchical_sales/W/short,Toto-2.0-2.5B,461.1490540585275,461.1490540585275,8.903806136826338,0.7226156852637952,0.527804850105491,0.4550711069635695,6.868274716033033,21.474381342858926,0.9858993513518464,0.4087780949172158,0.34638491407432,Sales,1
m4_quarterly/Q/short,Toto-2.0-2.5B,1747546.9679375,1747546.9679375,547.0227650553386,1.151973968702029,0.1105218258500099,0.0994492448951611,8.96166726231616,1321.9481714263611,0.2212708447118867,0.0915619779327855,0.0732594593455148,Econ/Fin,1
solar/H/short,Toto-2.0-2.5B,698.3295256274811,698.3295256274811,11.354713489768416,0.876534379014212,3.71107514249136,1.4183860928701533,4.824464308154362,26.425925255844515,0.9740684073483118,0.4185385214630832,0.3109797488762764,Energy,1
solar/H/medium,Toto-2.0-2.5B,749.1894730839416,749.1894730839416,10.986937169727035,0.8396572340952388,4.196441802755124,1.4102046928517902,4.848825327927779,27.37132574582279,0.985979063668873,0.3957751306529037,0.2991194263491829,Energy,1
solar/H/long,Toto-2.0-2.5B,710.209927514193,710.209927514193,11.37293076464923,0.8649038079719049,4.744632245275508,1.400841644954904,4.847438560450668,26.649764117421245,0.9239960014102324,0.394320283832522,0.2957198170530601,Energy,1
temperature_rain/D/short,Toto-2.0-2.5B,187.63556310346868,187.63556310346868,5.899720737854069,1.3659797506140177,29.343597027124975,1.526984618254407,19.56034253401936,13.698013107873296,1.612618309403914,0.6945531156460215,0.5600163102165229,Nature,1
sz_taxi/15T/short,Toto-2.0-2.5B,16.671701880747293,16.671701880747293,2.7143619523380265,0.5413917961250575,1110386951046.2864,0.3874804477666452,3.8332743963429134,4.0830995433306905,0.381787283296944,0.2538044602317924,0.1993854713834487,Transport,1
sz_taxi/15T/medium,Toto-2.0-2.5B,16.35552049946581,16.35552049946581,2.7515351124298877,0.5364161126085472,10555792516150.855,0.4030622106964466,3.9063950595679446,4.044195902706224,0.3763799178383429,0.2560762595235995,0.203285537546382,Transport,1
sz_taxi/15T/long,Toto-2.0-2.5B,15.9300208110755,15.9300208110755,2.712642311030983,0.5116532908980931,6261639550844.545,0.3958962388116979,4.012404238318468,3.991243015787876,0.369422324844901,0.2510773273012275,0.2007932822410723,Transport,1
car_parts/M/short,Toto-2.0-2.5B,1.5874726875885972,1.5874726875885972,0.476201855773642,0.8989433264059389,0.8114617028494563,1.8926035337038785,59.27174719144742,1.259949478188946,3.021229602525708,1.1418832011494753,1.179715259448354,Sales,1
ett2/H/short,Toto-2.0-2.5B,109.39727143787202,109.39727143787202,6.454397437686012,0.7378329195213809,0.1210625910478228,0.1100277706429903,6.082703081859133,10.459315055866329,0.1326532081399255,0.0818597128154151,0.065311696498897,Energy,7
ett2/H/medium,Toto-2.0-2.5B,267.11975446428573,267.11975446428573,10.09841076078869,1.0738326784922636,0.1750932806807725,0.172778021431422,7.739705766095402,16.34379865466672,0.2202431833735448,0.1360825705188617,0.1099899707896368,Energy,7
ett2/H/long,Toto-2.0-2.5B,234.91607142857143,234.91607142857143,9.559689153439152,1.0546453809749623,0.1784468746867272,0.1801015967330174,8.833714876605718,15.326972024133516,0.2098910853616297,0.130912585276189,0.1067729868666074,Energy,7
bizitobs_service/10S/short,Toto-2.0-2.5B,1844.0661842112063,1844.0661842112063,17.044521064556466,0.6915892635216615,0.0479006392173666,0.0384031690040543,4.939486220535839,42.942591726760114,0.0318132455755796,0.0126271264155435,0.0098522485974104,Web/CloudOps,2
