dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/10T/short,Toto-2.0-22m,21.837646484375,21.837646484375,2.0635707140548964,0.9088693763824768,4.4276117165104605,1.5517514507503738,5.002650542878191,4.673076768508624,1.359397525896375,0.6002924972477404,0.4591803432805006,Energy,1
solar/10T/medium,Toto-2.0-22m,21.526926426675516,21.526926426675516,1.9819798406049547,0.8691743227312583,3.1766827370753874,1.471098445134965,5.384766744849718,4.639711890481511,1.029570494357797,0.4398091977403058,0.3351739589722708,Energy,1
solar/10T/long,Toto-2.0-22m,21.347257625582927,21.347257625582927,1.901001095365724,0.831222746723566,2.6933896204707977,1.4700670420034343,5.768507116155522,4.620309256487376,0.998605931092327,0.4108709749633636,0.3274742451313964,Energy,1
us_births/W/short,Toto-2.0-22m,2471878.0,2471878.0,1195.2631138392858,1.086401978423431,0.0161294564604759,0.0161700615478723,7.01322373858652,1572.2207224178162,0.0213427421436219,0.0162255795695301,0.0127815420817583,Healthcare,1
temperature_rain/D/short,Toto-2.0-22m,186.45096507770216,186.45096507770216,5.905490424464332,1.371078623807421,29.517713059899105,1.5183858601010405,19.79761121747619,13.654704869666796,1.6075197868868345,0.6952323612417116,0.5639545737159444,Nature,1
saugeen/D/short,Toto-2.0-22m,1276.6266666666668,1276.6266666666668,13.482352701822917,2.9952024476309727,0.2941910807291666,0.3347064843979929,30.155726018930302,35.7299127716073,1.157300387874976,0.4366966163904516,0.352044588469538,Nature,1
ett1/D/short,Toto-2.0-22m,43489.828571428574,43489.828571428574,137.76602182539682,1.6540986826243669,1.3966442289806549,0.4639399751352599,10.300934180541992,208.54215058694624,0.5477428759304209,0.3618470260700354,0.2762838329831695,Energy,7
electricity/H/short,Toto-2.0-22m,2151980.98990991,2151980.98990991,197.09393352336713,1.058169289874193,0.1654310832004527,0.1388695432654927,11.456559407326091,1466.9631862831154,0.6925113886784071,0.0930424122981467,0.0758428064926508,Energy,1
electricity/H/medium,Toto-2.0-22m,7241004.656576577,7241004.656576577,262.3660916385135,1.1119557286653827,0.2036796102421347,0.1337412111653491,9.332711552728966,2690.9114917768247,1.0503513861047085,0.1024101271489322,0.0821042544306048,Energy,1
electricity/H/long,Toto-2.0-22m,11440755.090834836,11440755.090834836,304.0593873873874,1.2512852185481738,0.2983365004526739,0.1468757517990558,10.36795588671916,3382.4185268583833,1.334024885522395,0.1199209341571974,0.0953819279669334,Energy,1
m4_monthly/M/short,Toto-2.0-22m,1825978.102398148,1825978.102398148,550.0779104456019,0.9170110139547448,0.1563320685139408,0.1294949473774617,7.546276859131875,1351.287572057905,0.2808439463419732,0.1143250736257562,0.091293963080442,Econ/Fin,1
saugeen/W/short,Toto-2.0-22m,1013.93798828125,1013.93798828125,15.465408325195312,1.254683085809532,0.4173408508300781,0.3906405770415818,9.492677297606338,31.842392942133763,0.9611891087145368,0.4668362101747477,0.370237386736057,Nature,1
ett2/H/short,Toto-2.0-22m,108.23474702380952,108.23474702380952,6.447550455729167,0.7405582268609396,0.1215756902895131,0.1107075227086674,6.727712646708813,10.403592986262463,0.1319465060577555,0.0817728794646148,0.0659465304812341,Energy,7
ett2/H/medium,Toto-2.0-22m,251.29375,251.29375,9.697860863095238,1.043132478340962,0.1721808863986329,0.1696717262961552,8.019785133216969,15.852247474727362,0.2136192155342228,0.130684903401691,0.1064787731823203,Energy,7
ett2/H/long,Toto-2.0-22m,234.1972552910053,234.1972552910053,9.451266947751323,1.043375498703096,0.1798241162837081,0.1769996006449416,8.60732199731542,15.303504673472847,0.2095697180561388,0.1294278266171866,0.106501443791348,Energy,7
m_dense/D/short,Toto-2.0-22m,9961.084814814814,9961.084814814814,46.89218894675926,0.692371478551531,0.1289119169038697,0.0998757278753734,7.4853709114793885,99.80523440589084,0.1727776169609564,0.0811773120771886,0.0685233534695243,Transport,1
ett2/D/short,Toto-2.0-22m,103833.38412698412,103833.38412698412,194.7318824404762,1.286852423265355,0.4007570296999008,0.1333221943156565,10.65743412655992,322.2318794393009,0.1844217854621253,0.1114501814921705,0.0890549741727851,Energy,7
hospital/M/short,Toto-2.0-22m,2758.522490221643,2758.522490221643,17.845048688070403,0.7575498955460106,0.1920135909191995,0.1728204122766585,5.055534664005663,52.52163830481341,0.1906657433150925,0.0647816706108563,0.050785604296727,Healthcare,1
