dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Toto-2.0-FnF,3681085.118721509,3681085.118721509,323.3751618898428,0.8180251671406796,4.518342304168798,0.803277516742626,21.60059891625485,1918.615417096795,5.070327789735114,0.8545840168016547,0.6232758837456429,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Toto-2.0-FnF,3719104.246732848,3719104.246732848,293.351858405563,0.9179274635084256,4.5875785740464945,0.7849691747482994,20.035492276786865,1928.4979250009185,5.859309359281629,0.8912839714450592,0.6038150687667078,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Toto-2.0-FnF,1599144.9196059904,1599144.9196059904,136.43833706260324,0.6093852373564531,1.5896702849146722,0.7039826325783708,14.084911046642498,1264.5730186928672,3.97044652948557,0.4283826349853237,0.3457332703689969,Web/CloudOps,2
bitbrains_fast_storage/H/short,Toto-2.0-FnF,2994753.484444216,2994753.484444216,317.7021630722566,0.9217525597179852,3.4702322841756947,0.5674113802523171,28.522209463583916,1730.5356062341557,4.932588456282044,0.9055543361608293,0.6607405768128751,Web/CloudOps,2
bitbrains_rnd/5T/long,Toto-2.0-FnF,2393379.765338743,2393379.765338743,163.2233071395602,3.2383096450560673,1.331218446325101,0.6600281820838919,114.61299169811508,1547.0551914326595,5.9264198913215616,0.625271715912977,0.6123536829633901,Web/CloudOps,2
bitbrains_rnd/5T/medium,Toto-2.0-FnF,2211026.7387068504,2211026.7387068504,140.19651016362198,4.30816012967219,0.3842617084673243,0.6894447224114558,158.35998952655854,1486.952164229519,6.2563660486557335,0.5898782135887962,0.6468809325086826,Web/CloudOps,2
bitbrains_rnd/5T/short,Toto-2.0-FnF,1727238.4466759723,1727238.4466759723,114.5740747200524,1.569756992534852,0.9706313286758568,0.6326951176508967,50.82792212904574,1314.244439469299,5.3775088396109565,0.4688040375853692,0.374724382384044,Web/CloudOps,2
bitbrains_rnd/H/short,Toto-2.0-FnF,1910164.9123225776,1910164.9123225776,153.02106421294914,5.752230065866608,1.4941908641479595,0.5265751535091702,192.4976585218074,1382.0871580050868,6.0486895974775905,0.6696950434267831,0.6469427847171922,Web/CloudOps,2
bizitobs_application/10S/long,Toto-2.0-FnF,6340472.604444444,6340472.604444444,1526.0120833333333,3.250006156690735,0.0473360358344184,0.0483516279444001,71.84133483597499,2518.0295082553034,0.0971103332818165,0.0588521864095462,0.0543505411189032,Web/CloudOps,2
bizitobs_application/10S/medium,Toto-2.0-FnF,4100494.933333333,4100494.933333333,1112.8026041666667,2.3969975809757655,0.0344512939453125,0.0351883296835081,30.28574720681874,2024.9678845189949,0.0795145289884725,0.0436964830918671,0.038330546588796,Web/CloudOps,2
bizitobs_application/10S/short,Toto-2.0-FnF,419208.46222222224,419208.46222222224,342.19680555555556,1.008337314691823,0.0142682245042588,0.014413946473699,5.804754431666613,647.4630971895018,0.0249700636746369,0.0131971629905552,0.0102504608730987,Web/CloudOps,2
bizitobs_l2c/5T/long,Toto-2.0-FnF,49.95102678571429,49.95102678571429,4.214128224206349,0.420112062551829,0.3312073905628868,0.6600280792211825,2.692573335095338,7.06760403430429,0.396835400439174,0.2366169996561739,0.1855358517064515,Web/CloudOps,7
bizitobs_l2c/5T/medium,Toto-2.0-FnF,52.71988201530612,52.71988201530612,4.5074846540178575,0.4548547010300799,0.340878905251827,0.6123602568923987,3.0605750267745706,7.260845819552025,0.3820272654703296,0.2371599782337973,0.1879194754776718,Web/CloudOps,7
bizitobs_l2c/5T/short,Toto-2.0-FnF,13.6208251953125,13.6208251953125,2.0648565383184523,0.2123097571623434,0.1055473816428011,0.1836097100717788,1.7921188530882828,3.690640214828926,0.1267515235614337,0.0709155314343702,0.0559533729389272,Web/CloudOps,7
bizitobs_l2c/H/long,Toto-2.0-FnF,77.74926215277777,77.74926215277777,5.018063306051587,0.539928149012986,0.5991362017761961,0.7661909214162268,4.707964670274823,8.817554204697455,0.5386016598515349,0.3065177897562129,0.2474562868992035,Web/CloudOps,7
bizitobs_l2c/H/medium,Toto-2.0-FnF,72.10503162202382,72.10503162202382,4.738404482886905,0.4788336032532183,0.4703838119537147,0.7549138540770538,3.1343435545088845,8.491468166461193,0.514171295278709,0.2869175886619083,0.2262479505539393,Web/CloudOps,7
bizitobs_l2c/H/short,Toto-2.0-FnF,54.67801726810516,54.67801726810516,4.369932144407242,0.4274662479418658,0.3645075882653252,0.5853890631719318,2.617642032088973,7.394458551381917,0.3985802534551279,0.2355505341731934,0.1843795065674678,Web/CloudOps,7
bizitobs_service/10S/long,Toto-2.0-FnF,131229.8395767196,131229.8395767196,75.91289021164022,1.2826479219208575,0.0736799678096064,0.0712879781207828,20.168186905512243,362.25659355865366,0.2683712655604525,0.0562386959428827,0.0521904952288792,Web/CloudOps,2
bizitobs_service/10S/medium,Toto-2.0-FnF,23512.568888888887,23512.568888888887,38.34243055555555,0.9956450832677746,0.060634276374938,0.0544079935658045,9.277015602246005,153.33808688283835,0.1154058576168678,0.0288574167796945,0.0221539950645875,Web/CloudOps,2
bizitobs_service/10S/short,Toto-2.0-FnF,1859.8657671957671,1859.8657671957671,17.03237888558201,0.6946468550635586,0.0506853174280237,0.0408003438967264,4.982894390845753,43.12616105330692,0.031949239756251,0.0126181311608546,0.0099390855907031,Web/CloudOps,2
car_parts/M/short,Toto-2.0-FnF,1.4376076588960731,1.4376076588960731,0.4684804118422377,0.8874324726553701,0.8098755613116494,1.8888459288477757,29.190333321889433,1.19900277685086,2.8750856646563947,1.123367970671081,1.0220209294829758,Sales,1
