dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/short,VISIT-2.0,2372862.425,2372862.425,183.5663709,0.675716774,2.481990662,0.746227628,13.44793756,1540.409824,4.836505831,0.576353,0.441577668,Web/CloudOps,2
bitbrains_fast_storage/H/short,VISIT-2.0,6567785.878,6567785.878,454.9923571,1.027341785,6.483775965,0.583133936,20.02537457,2562.769181,7.30472463,1.296876013,1.023776538,Web/CloudOps,2
bitbrains_rnd/5T/short,VISIT-2.0,1685034.102,1685034.102,120.8433096,1.644784672,0.984179617,0.659874002,51.96540241,1298.088634,5.311403759,0.494455919,0.401398378,Web/CloudOps,2
bitbrains_rnd/H/short,VISIT-2.0,3285049.614,3285049.614,246.0033247,5.85978262,4.870045891,0.563752411,197.9890589,1812.470583,7.932258772,1.076631008,0.840703036,Web/CloudOps,2
bizitobs_application/10S/short,VISIT-2.0,627781.6889,627781.6889,424.0054861,1.266591024,0.018129497,0.018344074,8.984197855,792.3267564,0.030556876,0.016352197,0.0130306,Web/CloudOps,2
bizitobs_l2c/5T/short,VISIT-2.0,13.96167922,13.96167922,2.432506016,0.242583534,0.130513141,0.183576529,1.732960392,3.736533048,0.128327669,0.083542103,0.066475415,Web/CloudOps,7
bizitobs_l2c/H/short,VISIT-2.0,48.45678323,48.45678323,4.192261711,0.41718379,0.428496766,0.586340707,2.514949192,6.961090664,0.375220654,0.225973666,0.176731814,Web/CloudOps,7
bizitobs_service/10S/short,VISIT-2.0,2853.86582,2853.86582,20.85540675,0.782221745,0.060935976,0.050719766,6.198717906,53.42158571,0.039576419,0.015450352,0.012222476,Web/CloudOps,2
car_parts/M/short,VISIT-2.0,1.354525949,1.354525949,0.468783206,0.852927695,0.805964537,1.88192361,15.68825595,1.163841032,2.790771408,1.124094039,0.969651162,Sales,1
covid_deaths/D/short,VISIT-2.0,326926.1153,326926.1153,87.99979637,31.93510285,0.083674683,0.358117492,598.5738678,571.7745319,0.21513295,0.033110352,0.02786636,Healthcare,1
electricity/15T/short,VISIT-2.0,135421.676,135421.676,50.01767455,0.936378171,0.147864846,0.159533442,10.89984129,367.9968424,0.725394314,0.098594696,0.082216504,Energy,1
electricity/D/short,VISIT-2.0,1153581931,1153581931,4068.624721,1.362610888,0.282203955,0.092461417,11.30818614,33964.42155,0.558148242,0.066861016,0.053402847,Energy,1
electricity/H/short,VISIT-2.0,1557729.426,1557729.426,172.8579571,0.961743216,0.191650646,0.129250613,10.59640393,1248.090312,0.589187758,0.0816013,0.066531541,Energy,1
electricity/W/short,VISIT-2.0,35949283701,35949283701,26453.94144,1.531167961,0.247321106,0.099826889,11.97708683,189602.9633,0.432611393,0.060359165,0.04815597,Energy,1
ett1/15T/short,VISIT-2.0,4.522880918,4.522880918,1.047490293,0.671317974,0.442493614,0.231533886,4.987073847,2.126706589,0.402036026,0.198019245,0.157160691,Energy,7
ett1/D/short,VISIT-2.0,43214.20635,43214.20635,135.8135789,1.593081742,1.310772996,0.457601541,11.16221493,207.8802693,0.546004423,0.35671887,0.274373256,Energy,7
ett1/H/short,VISIT-2.0,101.400865,101.400865,5.045117188,0.839600965,0.482654826,0.27052932,5.728524172,10.06979965,0.469998747,0.23547626,0.180210693,Energy,7
