dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/D/short,ZooCast-Top1,18.49518188854489,18.49518188854489,2.945795036764706,0.8877604452918465,0.0544906380006772,0.0543189396184049,7.093401860268932,4.300602502969194,0.0768575185099684,0.0526452971202064,0.0424481930109351,Transport,1
m_dense/D/short,ZooCast-Top1,6930.688888888889,6930.688888888889,39.78548611111111,0.6150854754190758,0.1107411875912134,0.0887142266167534,6.180143266910618,83.250759088965,0.1441193783833838,0.0688745615026363,0.0578214707348832,Transport,1
sz_taxi/15T/short,ZooCast-Top1,16.578431889833258,16.578431889833258,2.7196888533558456,0.5429398753552315,1163949985076.9463,0.3944040095849788,3.8454181564168928,4.071662054963951,0.3807178159164761,0.2543025394162262,0.2001496307577382,Transport,1
sz_taxi/15T/medium,ZooCast-Top1,16.26090077457265,16.26090077457265,2.7383766109107905,0.5346223799157326,9442351611960.014,0.4037479498447516,4.004753579868697,4.0324807221575965,0.3752896393628863,0.2548516512680577,0.2020288543113543,Transport,1
sz_taxi/15T/long,ZooCast-Top1,15.539048032407408,15.539048032407408,2.702750233707265,0.5097233936474667,6160711490300.354,0.4007208060674858,4.202062870264974,3.9419599227297337,0.3648607885668546,0.2501617471764675,0.2011106580950573,Transport,1
sz_taxi/H/short,ZooCast-Top1,7.197291186732104,7.197291186732104,1.8412136501736112,0.5603278951066386,0.9449468759390024,0.2947785467164129,3.896584220508918,2.682776767964884,0.2499172110503107,0.1715204134364916,0.1353093467050623,Transport,1
bizitobs_application/10S/short,ZooCast-Top1,347597.08444444445,347597.08444444445,322.35493055555554,1.003902166736118,0.0140951357947455,0.0142328103383382,6.047178036464015,589.5736463279583,0.0227374989456552,0.0124319411820462,0.0095672555987191,Web/CloudOps,2
bizitobs_application/10S/medium,ZooCast-Top1,2196085.12,2196085.12,830.188125,1.802607947784264,0.0254507684707641,0.0259575303395589,17.99670644890125,1481.9194040162913,0.0581906134463082,0.0325990442791039,0.0256626331378489,Web/CloudOps,2
bizitobs_application/10S/long,ZooCast-Top1,5508385.564444444,5508385.564444444,1444.5294444444444,2.9496631708273595,0.0426447041829427,0.0436458333333333,21.627569590086416,2346.995007332662,0.0905142162256685,0.0557097267230176,0.0453959737312229,Web/CloudOps,2
bizitobs_l2c/5T/short,ZooCast-Top1,18.978057570684523,18.978057570684523,2.549083310081845,0.2665168882394313,0.1492978671282594,0.2039453778948102,2.299294813002909,4.356381247168861,0.1496157653283218,0.0875458387787803,0.069140398604358,Web/CloudOps,7
bizitobs_l2c/5T/medium,ZooCast-Top1,81.7203762755102,81.7203762755102,5.994177163052721,0.5826103672409443,0.4415750410448714,0.6657834007626489,4.480892408457367,9.03993231586997,0.4756333777766046,0.3153818669691863,0.2472050569534263,Web/CloudOps,7
bizitobs_l2c/5T/long,ZooCast-Top1,96.63757936507936,96.63757936507936,6.570953621031746,0.6471512945825063,0.550500069975595,0.811466548859127,5.148691017725035,9.830441463387052,0.5519645916327948,0.3689492222276223,0.2977954916750903,Web/CloudOps,7
bizitobs_l2c/H/short,ZooCast-Top1,47.4854484437004,47.4854484437004,4.190994989304316,0.4126212778254182,0.3739045872676858,0.5874816652328249,2.723177355563616,6.890968614331399,0.3714408951824537,0.2259053868413843,0.1764975143940964,Web/CloudOps,7
bizitobs_l2c/H/medium,ZooCast-Top1,76.57036830357143,76.57036830357143,4.936408923921131,0.4979993374385745,0.4964170399098629,0.7691191173735119,3.3091562434700794,8.750449605795774,0.5298530148006348,0.2989070583180058,0.2359357980831375,Web/CloudOps,7
bizitobs_l2c/H/long,ZooCast-Top1,85.68464781746032,85.68464781746032,5.357755921378968,0.5712635894958724,0.6297144659223869,0.7843813941592261,5.135881343364576,9.2566002299689,0.5654198582399772,0.3272671951136721,0.2672670630808577,Web/CloudOps,7
covid_deaths/D/short,ZooCast-Top1,423913.4796992481,423913.4796992481,111.35696271929824,32.53917305471355,0.086998928922364,0.3613865596608709,604.5420741472494,651.0863842066183,0.2449744206084698,0.0418985991484381,0.0347800987574981,Healthcare,1
electricity/W/short,ZooCast-Top1,75884883990.14053,75884883990.14053,31256.063063063066,1.3850606026911376,0.1246286197338138,0.0909074319375527,10.443927982377517,275472.1110931931,0.6285364514202042,0.0713160213753094,0.0559012045363786,Energy,1
ett1/15T/short,ZooCast-Top1,5.543573869977679,5.543573869977679,1.1087347848074778,0.6869282579853626,0.4906543143240023,0.2301215035574776,4.892709657054664,2.354479532715814,0.4450945883523978,0.2095970025556527,0.1652939685623463,Energy,7
ett1/15T/medium,ZooCast-Top1,9.473058655753968,9.473058655753968,1.5767613777281746,0.9859937447971706,0.7630063625767908,0.3774944971478174,7.507395887777427,3.077833435349283,0.5866380266337106,0.3005322420892267,0.2330312560593471,Energy,7
ett1/15T/long,ZooCast-Top1,8.841597222222223,8.841597222222223,1.58110599578373,1.0133727405348167,0.7827073009652279,0.3861721075148809,8.330647018479825,2.973482339315676,0.5667486738823136,0.3013603661032781,0.2411348565671954,Energy,7
ett1/D/short,ZooCast-Top1,41941.88888888889,41941.88888888889,134.4664806547619,1.6403424775100648,1.3372307671440973,0.4678384447854662,11.555169672110855,204.79718965085647,0.5379066118101579,0.353180671738464,0.2742107738380927,Energy,7
ett1/H/short,ZooCast-Top1,88.84915364583334,88.84915364583334,4.728027925037202,0.7867823367050838,0.437381344749814,0.2499001275925409,5.607514495280123,9.42598290078193,0.4399491852727759,0.2206764064248935,0.1705640131569194,Energy,7
ett1/H/medium,ZooCast-Top1,140.37652529761905,140.37652529761905,6.97626720610119,1.273777521133431,3687778958273.748,0.4353119623093378,9.667693706636634,11.848059980335137,0.5674939873309317,0.3341466619891637,0.2605946385713529,Energy,7
ett1/H/long,ZooCast-Top1,149.0723544973545,149.0723544973545,7.340656001984127,1.380466540478325,3420950115626.8896,0.4688980344742063,10.575395748311882,12.209519011711906,0.5846874214886253,0.3515281171779196,0.2751785632214682,Energy,7
ett1/W/short,ZooCast-Top1,1482215.4285714286,1482215.4285714286,943.4799107142856,1.5900649002196825,0.734635625566755,0.5536167621612549,9.080652070692834,1217.462701100707,0.4844574668620608,0.37543317521485,0.271427295073495,Energy,7
ett2/15T/short,ZooCast-Top1,6.982102167038691,6.982102167038691,1.678560529436384,0.7261654250803261,0.1039360147621145,0.1240321568080357,4.924883285917772,2.6423667737539183,0.1254425508533313,0.0796872397373809,0.0621924472471009,Energy,7
